Name,Atom Count_Cation,Atom Count_Anion,Volume_Cation,Volume_Anion,Radius_Cation,Radius_Anion,Volume Cation/Volume Anion,Polar Area_Cation,Polar Area_Anion,Polar Area_IonPair,Rotatable Bonds_Cation,Rotatable Bonds_Anion,Rotatable Bond Fraction_Anion,Rotatable Bond Fraction_Cation,H-Bond Acceptors_Anion,H-Bond Acceptors_Cation,H-Bond Donors_Anion,H-Bond Donors_Cation,H-Bond Interactions_Anion,H-Bond Interactions_Cation,Molecular Weight_Cation,Molecular Weight_Anion,Temperature,LogP_Anion,LogP_Cation,Bond Count_Anion,Bond Count_Cation,Asphericity_Cation,Spherocity_Cation,Asphericity_Anion,Spherocity_Anion,Valence Electrons_Cation,Valence Electrons_Anion,Min Partial Charge_Anion,Min Partial Charge_Cation,Max Partial Charge_Cation,Max Partial Charge_Anion,Asphericity Cation_StDev%,Spherocity_Cation_StDev%,Asphericity Anion_StDev%,Spherocity_Anion_StDev%,SMILES_Anion,SMILES_Cation,Mols_Cation,Mols_Anion,Melting Temperature
"['1-butyl-1-methylpyrrolidinium', 'tricyanomethanide']",30,7,167.69648,81.77344,3.42E-10,2.69E-10,2.050745083,0,48.6,48.6,3,0,0,0.1,3,0,0,0,0,0,142.26,90.06,,0.19906,2.0269,6,30,0.423880989,0.390698519,0.250000104,1.20E-12,60,32,-0.761575212,-0.326037383,0.092412052,0.148110216,20.05939441,8.605391747,1.03E-07,190.9224561,C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,<rdkit.Chem.rdchem.Mol object at 0x7f881b0b39a0>,<rdkit.Chem.rdchem.Mol object at 0x7f880d36fd10>,266.7
"['(2-Methoxyethyl)trimethylaminium', 'Heptafluoropropyltrifluoroboronanion']",24,14,137.55872,133.47184,3.20E-10,3.17E-10,1.030619792,9.2,0,9.2,3,1,0.076923077,0.130434783,11,1,0,0,0,0,118.2,236.83,,3.2059,0.339,13,23,0.434503379,0.454491339,0.138223289,0.518644986,50,86,-0.445064632,-0.378839051,0.101756698,0.554532239,11.6740964,4.366569781,37.94148564,7.523647882,[B-](C(C(C(F)(F)F)(F)F)(F)F)(F)(F)F,C[N+](C)(C)CCOC,<rdkit.Chem.rdchem.Mol object at 0x7f880d35d0e0>,<rdkit.Chem.rdchem.Mol object at 0x7f880d36fdb0>,296.1
"['1-Propyl-2-methylpyridinium', 'Bistriflylimide anion']",24,15,148.70688,156.65568,3.29E-10,3.34E-10,0.94925942,3.9,103,106.9,2,1,0.071428571,0.083333333,11,0,0,0,0,0,136.21,280.15,,0.9542,1.69252,14,24,0.295775071,0.25765307,0.339289976,0.33314104,54,92,-0.756650956,-0.202742217,0.177693087,0.518577958,24.0238734,29.09261322,8.871812634,5.562783403,C(F)(F)(F)S(=NS(=O)(=O)C(F)(F)F)(=O)[O-],CCC[N+]1=CC=CC=C1C,<rdkit.Chem.rdchem.Mol object at 0x7f880d35d1d0>,<rdkit.Chem.rdchem.Mol object at 0x7f880d36fcc0>,289
"['(2-Aminoethyl)Hexylammonium', 'trifluoroacetate']",31,7,172.71008,71.1,3.45E-10,2.57E-10,2.429115049,39.7,40.1,79.8,7,0,0,0.233333333,5,1,0,2,0,10,145.27,113.02,,-0.7014,0.3982,6,30,0.674582981,0.198533231,0.116135149,0.424424397,62,42,-0.541726828,-0.3565079,0.34404452,0.430292217,16.72032956,26.040682,0.000721469,0.000281707,C(=O)(C(F)(F)F)[O-],CCCCCCNCC[NH3+],<rdkit.Chem.rdchem.Mol object at 0x7f880d35d310>,<rdkit.Chem.rdchem.Mol object at 0x7f880d36fef0>,282.1
"['1-ethyl-3-methylimidazolium', 'ethylsulfate']",19,13,117.80448,96.7792,3.04E-10,2.85E-10,1.217249988,8.8,72,80.8,1,2,0.166666667,0.052631579,4,0,1,0,0,0,111.17,126.13,,-0.1743,0.3325,12,19,0.46990524,0.21550037,0.326176579,0.307204195,44,44,-0.263528447,-0.239534146,0.243018699,0.396839261,0.004315927,0.004875214,9.201448497,8.692068027,CCOS(=O)(=O)O,CCN1C=C[N+](=C1)C,<rdkit.Chem.rdchem.Mol object at 0x7f880d35d360>,<rdkit.Chem.rdchem.Mol object at 0x7f880d36ff40>,236.3
"['Methyldipropylaminium', 'trifluoromethanesulfonate']",26,8,144.3136,85.46112,3.25E-10,2.73E-10,1.688646252,4.4,65.6,70,4,0,0,0.16,6,0,0,1,0,6,116.22,149.07,,0.0514,0.3211,7,25,0.389541947,0.309298022,0.124401433,0.666378744,50,50,-0.741154773,-0.337390033,0.3473813,0.485234805,26.67549614,20.57835523,0.002308764,0.000795575,C(F)(F)(F)S(=O)(=O)[O-],CCC[NH+](C)CCC,<rdkit.Chem.rdchem.Mol object at 0x7f880d35d3b0>,<rdkit.Chem.rdchem.Mol object at 0x7f880d36ff90>,290.1
"['1-ethyl-3-methylimidazolium', 'Cyanoiminomethylideneazanide']",19,5,117.80448,58.5632,3.04E-10,2.41E-10,2.011578602,8.8,37.2,46,1,0,0,0.052631579,3,0,0,0,0,0,111.17,66.04,,0.21078,0.3325,4,19,0.46990524,0.21550037,0.668738707,1.03E-13,44,24,-0.421522061,-0.239534146,0.243018699,0.092473943,0.004315927,0.004875214,9.63E-05,222.9281574,C(=[N-])=NC#N,CCN1C=C[N+](=C1)C,<rdkit.Chem.rdchem.Mol object at 0x7f880d35d360>,<rdkit.Chem.rdchem.Mol object at 0x7f880d36fe50>,268.3
"['1-ethyl-3-methylimidazolium', 'Bistriflylimide anion']",19,15,117.80448,156.65568,3.04E-10,3.34E-10,0.751996225,8.8,103,111.8,1,1,0.071428571,0.052631579,11,0,0,0,0,0,111.17,280.15,,0.9542,0.3325,14,19,0.46990524,0.21550037,0.339289976,0.33314104,44,92,-0.756650956,-0.239534146,0.243018699,0.518577958,0.004315927,0.004875214,8.871812634,5.562783403,C(F)(F)(F)S(=NS(=O)(=O)C(F)(F)F)(=O)[O-],CCN1C=C[N+](=C1)C,<rdkit.Chem.rdchem.Mol object at 0x7f880d35d360>,<rdkit.Chem.rdchem.Mol object at 0x7f880d36fcc0>,274.1
"['Ethyl-dimethyl-prop-2-enylazanium', 'Bistriflylimide anion']",24,15,139.35696,156.65568,3.22E-10,3.34E-10,0.889574894,0,103,103,3,1,0.071428571,0.130434783,11,0,0,0,0,0,114.21,280.15,,0.9542,1.2687,14,23,0.20522594,0.527876263,0.339289976,0.33314104,48,92,-0.756650956,-0.325467001,0.097267441,0.518577958,30.61085469,5.399596695,8.871812634,5.562783403,C(F)(F)(F)S(=NS(=O)(=O)C(F)(F)F)(=O)[O-],CC[N+](C)(C)CC=C,<rdkit.Chem.rdchem.Mol object at 0x7f880d35d540>,<rdkit.Chem.rdchem.Mol object at 0x7f880d36fcc0>,284.1
"['Ethyl-dimethyl-prop-2-enylazanium', 'Cyanoiminomethylideneazanide']",24,5,139.35696,58.5632,3.22E-10,2.41E-10,2.379599475,0,37.2,37.2,3,0,0,0.130434783,3,0,0,0,0,0,114.21,66.04,,0.21078,1.2687,4,23,0.20522594,0.527876263,0.668738707,1.03E-13,48,24,-0.421522061,-0.325467001,0.097267441,0.092473943,30.61085469,5.399596695,9.63E-05,222.9281574,C(=[N-])=NC#N,CC[N+](C)(C)CC=C,<rdkit.Chem.rdchem.Mol object at 0x7f880d35d540>,<rdkit.Chem.rdchem.Mol object at 0x7f880d36fe50>,240.2
"['Ethyl-dimethyl-prop-2-enylazanium', 'trifluoromethanesulfonate']",24,8,139.35696,85.46112,3.22E-10,2.73E-10,1.63064748,0,65.6,65.6,3,0,0,0.130434783,6,0,0,0,0,0,114.21,149.07,,0.0514,1.2687,7,23,0.20522594,0.527876263,0.124401433,0.666378744,48,50,-0.741154773,-0.325467001,0.097267441,0.485234805,30.61085469,5.399596695,0.002308764,0.000795575,C(F)(F)(F)S(=O)(=O)[O-],CC[N+](C)(C)CC=C,<rdkit.Chem.rdchem.Mol object at 0x7f880d35d540>,<rdkit.Chem.rdchem.Mol object at 0x7f880d36ff90>,262.1
"['1-butyl-1-methylpyrrolidinium', 'Bistriflylimide anion']",30,15,167.69648,156.65568,3.42E-10,3.34E-10,1.070478134,0,103,103,3,1,0.071428571,0.1,11,0,0,0,0,0,142.26,280.15,,0.9542,2.0269,14,30,0.423880989,0.390698519,0.339289976,0.33314104,60,92,-0.756650956,-0.326037383,0.092412052,0.518577958,20.05939441,8.605391747,8.871812634,5.562783403,C(F)(F)(F)S(=NS(=O)(=O)C(F)(F)F)(=O)[O-],CCCC[N+]1(CCCC1)C,<rdkit.Chem.rdchem.Mol object at 0x7f881b0b39a0>,<rdkit.Chem.rdchem.Mol object at 0x7f880d36fcc0>,270.1
"['1-butyl-1-methylpyrrolidinium', 'bis(fluorosulfonyl)amide']",30,9,167.69648,99.25584,3.42E-10,2.87E-10,1.689537663,0,86,86,3,2,0.25,0.1,7,0,0,0,0,0,142.26,180.14,,-0.2113,2.0269,8,30,0.423880989,0.390698519,0.31772153,0.44827335,60,56,-0.379312199,-0.326037383,0.092412052,0.241254649,20.05939441,8.605391747,3.839002313,1.623500041,[N-](S(=O)(=O)F)S(=O)(=O)F,CCCC[N+]1(CCCC1)C,<rdkit.Chem.rdchem.Mol object at 0x7f881b0b39a0>,<rdkit.Chem.rdchem.Mol object at 0x7f880d3784a0>,258.1
"['1-propylpyridinium', 'Bistriflylimide anion']",21,15,132.12368,156.65568,3.16E-10,3.34E-10,0.843401784,3.9,103,106.9,2,1,0.071428571,0.095238095,11,0,0,0,0,0,122.19,280.15,,0.9542,1.3841,14,21,0.467401737,0.252974777,0.339289976,0.33314104,48,92,-0.756650956,-0.205136891,0.168269224,0.518577958,20.14978614,31.30183599,8.871812634,5.562783403,C(F)(F)(F)S(=NS(=O)(=O)C(F)(F)F)(=O)[O-],CCC[N+]1=CC=CC=C1,<rdkit.Chem.rdchem.Mol object at 0x7f880d35d770>,<rdkit.Chem.rdchem.Mol object at 0x7f880d36fcc0>,317.6
"['1-ethyl-3-methylimidazolium', 'trifluoromethanesulfonate']",19,8,117.80448,85.46112,3.04E-10,2.73E-10,1.378457011,8.8,65.6,74.4,1,0,0,0.052631579,6,0,0,0,0,0,111.17,149.07,,0.0514,0.3325,7,19,0.46990524,0.21550037,0.124401433,0.666378744,44,50,-0.741154773,-0.239534146,0.243018699,0.485234805,0.004315927,0.004875214,0.002308764,0.000795575,C(F)(F)(F)S(=O)(=O)[O-],CCN1C=C[N+](=C1)C,<rdkit.Chem.rdchem.Mol object at 0x7f880d35d360>,<rdkit.Chem.rdchem.Mol object at 0x7f880d36ff90>,263.1
"['methyltrioctylammonium', 'trifluoroacetate']",80,7,446.60176,71.1,4.74E-10,2.57E-10,6.281318706,0,40.1,40.1,21,0,0,0.265822785,5,0,0,0,0,0,368.7,113.02,,-0.7014,8.5145,6,79,0.265792687,0.150660025,0.116135149,0.424424397,158,42,-0.541726828,-0.32604385,0.092408039,0.430292217,24.25971812,32.718491,0.000721469,0.000281707,C(=O)(C(F)(F)F)[O-],CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,<rdkit.Chem.rdchem.Mol object at 0x7f880d35d7c0>,<rdkit.Chem.rdchem.Mol object at 0x7f880d36fef0>,285.62
"['1-ethyl-3-methylpyridinium', 'perfluoropentanoate']",21,16,132.17536,150.86816,3.16E-10,3.30E-10,0.876098443,3.9,40.1,44,1,2,0.133333333,0.047619048,11,0,0,0,0,0,122.19,263.04,,1.2045,1.30242,15,21,0.340999992,0.186119182,0.1904627,0.464713742,48,96,-0.543714401,-0.205159433,0.171170902,0.459660439,0.211119304,0.367249107,25.99342391,12.16439735,C(=O)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)[O-],CC[N+]1=CC=CC(=C1)C,<rdkit.Chem.rdchem.Mol object at 0x7f880d35db30>,<rdkit.Chem.rdchem.Mol object at 0x7f880d378590>,275
"['1-propyl-3-methylimidazolium', 'tetrafluoroborate']",22,5,134.61984,52.80928,3.18E-10,2.33E-10,2.549170146,8.8,0,8.8,2,0,0,0.090909091,5,0,0,0,0,0,125.19,86.81,,1.3,0.7226,4,22,0.529042517,0.232568413,0.000465134,0.964604004,50,32,-0.41830328,-0.239533997,0.243028653,0.673213119,16.67165435,32.01444535,33.51749317,0.797392736,[B-](F)(F)(F)F,CCCN1C=C[N+](=C1)C,<rdkit.Chem.rdchem.Mol object at 0x7f880d35d860>,<rdkit.Chem.rdchem.Mol object at 0x7f880d3785e0>,256.1
"['1-ethyl-3-methylimidazolium', 'tetrafluoroborate']",19,5,117.80448,52.80928,3.04E-10,2.33E-10,2.230753383,8.8,0,8.8,1,0,0,0.052631579,5,0,0,0,0,0,111.17,86.81,,1.3,0.3325,4,19,0.46990524,0.21550037,0.000465134,0.964604004,44,32,-0.41830328,-0.239534146,0.243018699,0.673213119,0.004315927,0.004875214,33.51749317,0.797392736,[B-](F)(F)(F)F,CCN1C=C[N+](=C1)C,<rdkit.Chem.rdchem.Mol object at 0x7f880d35d360>,<rdkit.Chem.rdchem.Mol object at 0x7f880d3785e0>,288.1
"['Choline', 'Bis(nonafluorobutylsulfonyl)amineanion']",21,33,120.34864,314.3504,3.06E-10,4.22E-10,0.382848694,20.2,86,106.2,2,8,0.25,0.1,23,1,0,1,0,23,104.17,580.2,,4.8711,-0.3151,32,20,0.285189052,0.642249585,0.518980459,0.203667423,44,200,-0.425324635,-0.39051529,0.21034375,0.459690868,18.82420314,2.25151872,15.87197376,14.85740473,C(C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(F)(F)F)(F)F,C[N+](C)(C)CCO,<rdkit.Chem.rdchem.Mol object at 0x7f880d35dcc0>,<rdkit.Chem.rdchem.Mol object at 0x7f880d3786d0>,303
"['butylammonium', 'formate']",17,4,93.28304,37.89072,2.81E-10,2.08E-10,2.461896739,27.6,40.1,67.7,2,0,0,0.125,2,0,0,1,0,2,74.14,45.017,,-1.6339,0.0284,3,16,0.525136428,0.35613583,0.730348388,8.79E-14,32,18,-0.553857225,-0.357561014,0.344006604,0.080241419,27.48524014,24.67250514,5.19E-05,400.5708216,C(=O)[O-],CCCC[NH3+],<rdkit.Chem.rdchem.Mol object at 0x7f880d35dd10>,<rdkit.Chem.rdchem.Mol object at 0x7f880d378720>,275.1
"['ethyl-dimethyl-propylazanium', 'Bistriflylimide anion']",25,15,142.34448,156.65568,3.24E-10,3.34E-10,0.908645508,0,103,103,3,1,0.071428571,0.125,11,1,0,0,0,0,115.22,280.15,,0.9542,1.30689,14,24,0.213536669,0.501303203,0.339289976,0.33314104,50,92,-0.756650956,-0.353697553,0.092016496,0.518577958,29.89066599,3.592061878,8.871812634,5.562783403,C(F)(F)(F)S(=NS(=O)(=O)C(F)(F)F)(=O)[O-],CC[N+](C)(C)C[CH-]C,<rdkit.Chem.rdchem.Mol object at 0x7f880d35de00>,<rdkit.Chem.rdchem.Mol object at 0x7f880d36fcc0>,263.1
"['1-butylpyridinium', 'Bistriflylimide anion']",24,15,148.95568,156.65568,3.29E-10,3.34E-10,0.950847617,3.9,103,106.9,3,1,0.071428571,0.125,11,0,0,0,0,0,136.21,280.15,,0.9542,1.7742,14,24,0.542860048,0.26445419,0.339289976,0.33314104,54,92,-0.756650956,-0.205125874,0.168269448,0.518577958,20.40908998,38.26051873,8.871812634,5.562783403,C(F)(F)(F)S(=NS(=O)(=O)C(F)(F)F)(=O)[O-],CCCC[N+]1=CC=CC=C1,<rdkit.Chem.rdchem.Mol object at 0x7f880d35de50>,<rdkit.Chem.rdchem.Mol object at 0x7f880d36fcc0>,299.1
"['2-Methoxyethyldiethylmethylaminium', 'tetrafluoroborate']",30,5,170.8312,52.80928,3.44E-10,2.33E-10,3.234870841,9.2,0,9.2,5,0,0,0.172413793,5,1,0,0,0,0,146.25,86.81,,1.3,1.1192,4,29,0.287763163,0.41966712,0.000465134,0.964604004,62,32,-0.41830328,-0.378838731,0.102154147,0.673213119,20.95377904,16.24766167,33.51749317,0.797392736,[B-](F)(F)(F)F,CC[N+](C)(CC)CCOC,<rdkit.Chem.rdchem.Mol object at 0x7f880d35dea0>,<rdkit.Chem.rdchem.Mol object at 0x7f880d3785e0>,281.1
"['1-butyl-3-methylimidazolium', 'methylsulfate']",25,9,151.30032,77.21552,3.31E-10,2.64E-10,1.959454783,8.8,74.8,83.6,3,0,0,0.12,4,0,0,0,0,0,139.22,111.1,,-0.907,1.1127,8,25,0.559130993,0.238336992,0.131265762,0.437513739,56,38,-0.725526876,-0.239533996,0.243028824,0.216866037,19.46862464,34.54799216,4.38E-05,4.56E-05,COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,<rdkit.Chem.rdchem.Mol object at 0x7f880d35d5e0>,<rdkit.Chem.rdchem.Mol object at 0x7f880d378040>,269.1
"['2-Methoxyethyldiethylmethylaminium', 'Trifluoromethyltrifluoroboronanion']",30,8,170.8312,80.38432,3.44E-10,2.68E-10,2.125180632,9.2,0,9.2,5,0,0,0.172413793,7,1,0,0,0,0,146.25,136.81,,1.9353,1.1192,7,29,0.287763163,0.41966712,0.063285513,0.716335521,62,50,-0.443340498,-0.378838731,0.102154147,0.583149963,20.95377904,16.24766167,10.16033741,1.740006047,[B-](C(F)(F)F)(F)(F)F,CC[N+](C)(CC)CCOC,<rdkit.Chem.rdchem.Mol object at 0x7f880d35dea0>,<rdkit.Chem.rdchem.Mol object at 0x7f880d378810>,251.2
"['1-butyl-3-methylimidazolium', 'trifluoromethanesulfonate']",25,8,151.30032,85.46112,3.31E-10,2.73E-10,1.770399452,8.8,65.6,74.4,3,0,0,0.12,6,0,0,0,0,0,139.22,149.07,,0.0514,1.1127,7,25,0.559130993,0.238336992,0.124401433,0.666378744,56,50,-0.741154773,-0.239533996,0.243028824,0.485234805,19.46862464,34.54799216,0.002308764,0.000795575,C(F)(F)(F)S(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,<rdkit.Chem.rdchem.Mol object at 0x7f880d35d5e0>,<rdkit.Chem.rdchem.Mol object at 0x7f880d36ff90>,291.1
"['Triethyl(2-methoxyethyl)azanium', 'Nonafluorobutyltrifluoroboronanion']",33,17,187.48992,160.40272,3.55E-10,3.37E-10,1.168869954,9.2,0,9.2,6,2,0.125,0.1875,13,1,0,0,0,0,160.28,286.84,,3.8412,1.5093,16,32,0.208676705,0.521507097,0.229755308,0.42738297,68,104,-0.445066504,-0.378838571,0.102353027,0.554357427,29.3576576,18.95827266,28.93230879,12.79990578,[B-](C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)(F)F,CC[N+](CC)(CC)CCOC,<rdkit.Chem.rdchem.Mol object at 0x7f880d369090>,<rdkit.Chem.rdchem.Mol object at 0x7f880d378860>,284.1
"['Triethyl(2-methoxyethyl)azanium', 'Bistriflylimide anion']",33,15,187.48992,156.65568,3.55E-10,3.34E-10,1.196828101,9.2,103,112.2,6,1,0.071428571,0.1875,11,1,0,0,0,0,160.28,280.15,,0.9542,1.5093,14,32,0.208676705,0.521507097,0.339289976,0.33314104,68,92,-0.756650956,-0.378838571,0.102353027,0.518577958,29.3576576,18.95827266,8.871812634,5.562783403,C(F)(F)(F)S(=NS(=O)(=O)C(F)(F)F)(=O)[O-],CC[N+](CC)(CC)CCOC,<rdkit.Chem.rdchem.Mol object at 0x7f880d369090>,<rdkit.Chem.rdchem.Mol object at 0x7f880d36fcc0>,293.1
"['Triethyl(2-methoxyethyl)azanium', 'Pentafluoroethyltrifluoroboronanion']",33,11,187.48992,106.98208,3.55E-10,2.94E-10,1.752535752,9.2,0,9.2,6,0,0,0.1875,9,1,0,0,0,0,160.28,186.82,,2.5706,1.5093,10,32,0.208676705,0.521507097,0.096818241,0.59251259,68,68,-0.444977571,-0.378838571,0.102353027,0.558078119,29.3576576,18.95827266,10.17242419,1.980326526,[B-](C(C(F)(F)F)(F)F)(F)(F)F,CC[N+](CC)(CC)CCOC,<rdkit.Chem.rdchem.Mol object at 0x7f880d369090>,<rdkit.Chem.rdchem.Mol object at 0x7f880d3788b0>,276.1
"['Triethyl(2-methoxyethyl)azanium', 'Heptafluoropropyltrifluoroboronanion']",33,14,187.48992,133.47184,3.55E-10,3.17E-10,1.404715182,9.2,0,9.2,6,1,0.076923077,0.1875,11,1,0,0,0,0,160.28,236.83,,3.2059,1.5093,13,32,0.208676705,0.521507097,0.138223289,0.518644986,68,86,-0.445064632,-0.378838571,0.102353027,0.554532239,29.3576576,18.95827266,37.94148564,7.523647882,[B-](C(C(C(F)(F)F)(F)F)(F)F)(F)(F)F,CC[N+](CC)(CC)CCOC,<rdkit.Chem.rdchem.Mol object at 0x7f880d369090>,<rdkit.Chem.rdchem.Mol object at 0x7f880d36fdb0>,279.1
"['Triethyl(2-methoxyethyl)azanium', 'Trifluoromethyltrifluoroboronanion']",33,8,187.48992,80.38432,3.55E-10,2.68E-10,2.332419059,9.2,0,9.2,6,0,0,0.1875,7,1,0,0,0,0,160.28,136.81,,1.9353,1.5093,7,32,0.208676705,0.521507097,0.063285513,0.716335521,68,50,-0.443340498,-0.378838571,0.102353027,0.583149963,29.3576576,18.95827266,10.16033741,1.740006047,[B-](C(F)(F)F)(F)(F)F,CC[N+](CC)(CC)CCOC,<rdkit.Chem.rdchem.Mol object at 0x7f880d369090>,<rdkit.Chem.rdchem.Mol object at 0x7f880d378810>,283.1
"['1-butyl-3-methylimidazolium', 'Bistriflylimide anion']",25,15,151.30032,156.65568,3.31E-10,3.34E-10,0.965814454,8.8,103,111.8,3,1,0.071428571,0.12,11,0,0,0,0,0,139.22,280.15,,0.9542,1.1127,14,25,0.559130993,0.238336992,0.339289976,0.33314104,56,92,-0.756650956,-0.239533996,0.243028824,0.518577958,19.46862464,34.54799216,8.871812634,5.562783403,C(F)(F)(F)S(=NS(=O)(=O)C(F)(F)F)(=O)[O-],CCCCN1C=C[N+](=C1)C,<rdkit.Chem.rdchem.Mol object at 0x7f880d35d5e0>,<rdkit.Chem.rdchem.Mol object at 0x7f880d36fcc0>,272.1
"['Methyldiallylaminium', 'trifluoromethanesulfonate']",22,8,133.2576,85.46112,3.17E-10,2.73E-10,1.559277482,4.4,65.6,70,4,0,0,0.19047619,6,0,0,1,0,6,112.19,149.07,,0.0514,-0.1269,7,21,0.319531411,0.349351385,0.124401433,0.666378744,46,50,-0.741154773,-0.330889863,0.347929457,0.485234805,38.19030374,17.50102266,0.002308764,0.000795575,C(F)(F)(F)S(=O)(=O)[O-],C[NH+](CC=C)CC=C,<rdkit.Chem.rdchem.Mol object at 0x7f880d369270>,<rdkit.Chem.rdchem.Mol object at 0x7f880d36ff90>,254.2
"['2-Methoxyethylethyldimethylaminium', 'Pentafluoroethyltrifluoroboronanion']",27,11,154.12688,106.98208,3.33E-10,2.94E-10,1.440679411,9.2,0,9.2,4,0,0,0.153846154,9,1,0,0,0,0,132.22,186.82,,2.5706,0.7291,10,26,0.373960989,0.40491266,0.096818241,0.59251259,56,68,-0.444977571,-0.378838891,0.10195537,0.558078119,22.15287925,8.438275689,10.17242419,1.980326526,[B-](C(C(F)(F)F)(F)F)(F)(F)F,CC[N+](C)(C)CCOC,<rdkit.Chem.rdchem.Mol object at 0x7f880d35d590>,<rdkit.Chem.rdchem.Mol object at 0x7f880d3788b0>,240.2
